id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2538340984,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-morumbi-bairros-sao-jose-dos-campos-com-garagem-55m2-aluguel-RS1000-id-2538340984/,"Apartamento com 2 Quartos para Aluguel, 55m²","Cidade Morumbi, São José dos Campos - SP",55,2 Quartos,1 Banheiro,1 Vaga,"Salão de festas
Piscina
Churrasqueira",R$ 1.000 /mês,R$ 340,São José dos Campos,2021-10-30 14:35
2515898156,https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-esplanada-bairros-sao-jose-dos-campos-com-garagem-157m2-venda-RS1350000-id-2515898156/,Apartamento com 4 Quartos para Venda/Aluguel 157m²,"Rua Laurent Martins, 479 - Jardim Esplanada, São José dos Campos - SP",157,4 Quartos,1 Banheiro,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...","R$ 5.500 /mês
R$ 1.350.000",R$ 850,São José dos Campos,2021-10-30 14:35
2535780640,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-74m2-aluguel-RS3000-id-2535780640/,"Apartamento com 2 Quartos para Aluguel, 74m²","Rua Doutor Jorge de Oliveira Coutinho, 280 - Jardim Aquarius, São José dos Campos - SP",74,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Varanda
Ar-condicionado
...",R$ 3.000 /mês,R$ 400,São José dos Campos,2021-10-30 14:35
2534493825,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-75m2-aluguel-RS1900-id-2534493825/,"Apartamento com 3 Quartos para Aluguel, 75m²","Avenida Alfredo Ignácio Nogueira Penido, 000 - Parque Residencial Aquarius, São José dos Campos - SP",75,3 Quartos,2 Banheiros,2 Vagas,,R$ 1.900 /mês,R$ 659,São José dos Campos,2021-10-30 14:35
2533083102,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-rossi-bairros-sao-jose-dos-campos-com-garagem-47m2-venda-RS130000-id-2533083102/,Apartamento com 2 Quartos para Venda/Aluguel 47m²,"Avenida Rui Barbosa - Vila Rossi, São José dos Campos - SP",47,2 Quartos,1 Banheiro,1 Vaga,,"R$ 700 /mês
R$ 130.000",R$ 437,São José dos Campos,2021-10-30 14:35
2534655883,https://www.vivareal.com.br/imovel/apartamento-1-quartos-santana-bairros-sao-jose-dos-campos-46m2-aluguel-RS1500-id-2534655883/,"Apartamento com Quarto para Aluguel, 46m²","Avenida Rui Barbosa - Santana, São José dos Campos - SP",46,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.500 /mês,,São José dos Campos,2021-10-30 14:35
2539155929,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-zizinha-bairros-sao-jose-dos-campos-com-garagem-60m2-aluguel-RS690-id-2539155929/,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua Kenkiti Shimomoto, 100 - Vila Zizinha, São José dos Campos - SP",60,2 Quartos,1 Banheiro,1 Vaga,,R$ 690 /mês,R$ 510,São José dos Campos,2021-10-30 14:35
2538513101,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-maria-bairros-sao-jose-dos-campos-60m2-aluguel-RS915-id-2538513101/,"Apartamento com 2 Quartos para Aluguel, 60m²","Rua São Pedro, 87 - Vila Maria, São José dos Campos - SP",60,2 Quartos,1 Banheiro,-- Vaga,,R$ 915 /mês,R$ 365,São José dos Campos,2021-10-30 14:35
2535370107,https://www.vivareal.com.br/imovel/apartamento-1-quartos-monte-castelo-bairros-sao-jose-dos-campos-com-garagem-40m2-aluguel-RS1000-id-2535370107/,"Apartamento com Quarto para Aluguel, 40m²","Monte Castelo, São José dos Campos - SP",40,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.000 /mês,R$ 197,São José dos Campos,2021-10-30 14:35
2533128918,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-76m2-aluguel-RS2100-id-2533128918/,"Apartamento com 2 Quartos para Aluguel, 76m²","Jardim Aquarius, São José dos Campos - SP",76,2 Quartos,1 Banheiro,2 Vagas,"Piscina
Churrasqueira
Varanda
Área de serviço
Playground
...",R$ 2.100 /mês,R$ 550,São José dos Campos,2021-10-30 14:35
2538184317,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-santa-ines-iii-bairros-sao-jose-dos-campos-com-garagem-44m2-venda-RS165000-id-2538184317/,Apartamento com 2 Quartos para Venda/Aluguel 44m²,"Jardim Santa Inês III, São José dos Campos - SP",44,2 Quartos,1 Banheiro,1 Vaga,"Cozinha
Elevador
Interfone
Varanda
Área de serviço","R$ 600 /mês
R$ 165.000",R$ 200,São José dos Campos,2021-10-30 14:35
2531325475,https://www.vivareal.com.br/imovel/apartamento-2-quartos-floradas-de-sao-jose-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS1508-id-2531325475/,"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Matias Peres - Floradas de São José, São José dos Campos - SP",58,2 Quartos,1 Banheiro,1 Vaga,Armário embutido,R$ 1.508 /mês,,São José dos Campos,2021-10-30 14:35
2531100025,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-78m2-venda-RS770000-id-2531100025/,Apartamento com 2 Quartos para Venda/Aluguel 78m²,"Rua das Baleias - Jardim Aquarius, São José dos Campos - SP",78,2 Quartos,2 Banheiros,2 Vagas,"Churrasqueira
Piscina
Interfone
Armário na cozinha
Ar-condicionado","R$ 3.750 /mês
R$ 770.000",R$ 610,São José dos Campos,2021-10-30 14:35
