,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,list_add,list_add_1,list_add_2,list_add_3,list_add_4,street,Neiborhood,pr_add_1,pr_add_2,rent,bath_add,bath_num,garage_num,rooms_num
2545,2536617990,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ema-bairros-sao-jose-dos-campos-com-garagem-107m2-aluguel-RS5500-id-2536617990/,"Apartamento com 3 Quartos para Aluguel, 107m²","Avenida Heitor Villa Lobos - Vila Ema, São José dos Campos - SP",107,3 Quartos,3 Banheiros,2 Vagas,"Mobiliado
Elevador
Varanda
Área de serviço
Varanda gourmet
...",R$ 5.500 /mês,R$ 699,São José dos Campos,2021-10-30 14:45,"['Avenida Heitor Villa Lobos - Vila Ema', ' São José dos Campos - SP']",Avenida Heitor Villa Lobos - Vila Ema," Vila Ema, São José dos Campos ",Avenida Heitor Villa Lobos , Vila Ema,Avenida Heitor Villa Lobos , Vila Ema, 5.500 /mês,R$ 5.500 , 5.500 ,3 ,3 ,2 ,3 
2546,2532748094,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-58m2-aluguel-RS1200-id-2532748094/,"Apartamento com 2 Quartos para Aluguel, 58m²","Jardim Aquarius, São José dos Campos - SP",58,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.200 /mês,R$ 440,São José dos Campos,2021-10-30 14:45,"['Jardim Aquarius', ' São José dos Campos - SP']",Jardim Aquarius, SP,"Jardim Aquarius, São José dos Campos ", SP,"Jardim Aquarius, São José dos Campos ",Jardim Aquarius, 1.200 /mês,R$ 1.200 , 1.200 ,1 ,1 ,1 ,2 
2547,2539377894,https://www.vivareal.com.br/imovel/apartamento-2-quartos-monte-castelo-bairros-sao-jose-dos-campos-com-garagem-53m2-aluguel-RS1400-id-2539377894/,"Apartamento com 2 Quartos para Aluguel, 53m²","Rua Waldir Gaioso - Monte Castelo, São José dos Campos - SP",53,2 Quartos,1 Banheiro,1 Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.400 /mês,,São José dos Campos,2021-10-30 14:45,"['Rua Waldir Gaioso - Monte Castelo', ' São José dos Campos - SP']",Rua Waldir Gaioso - Monte Castelo," Monte Castelo, São José dos Campos ",Rua Waldir Gaioso , Monte Castelo,Rua Waldir Gaioso , Monte Castelo, 1.400 /mês,R$ 1.400 , 1.400 ,1 ,1 ,1 ,2 
2548,2502869180,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-residencial-flamboyant-bairros-sao-jose-dos-campos-com-garagem-45m2-aluguel-RS2500-id-2502869180/,"Apartamento com 3 Quartos para Aluguel, 45m²","Parque Residencial Flamboyant, São José dos Campos - SP",45,3 Quartos,1 Banheiro,1 Vaga,"Churrasqueira
Armário na cozinha",R$ 2.500 /mês,,São José dos Campos,2021-10-30 14:45,"['Parque Residencial Flamboyant', ' São José dos Campos - SP']",Parque Residencial Flamboyant, SP,"Parque Residencial Flamboyant, São José dos Campos ", SP,"Parque Residencial Flamboyant, São José dos Campos ",Parque Residencial Flamboyant, 2.500 /mês,R$ 2.500 , 2.500 ,1 ,1 ,1 ,3 
2549,2537349517,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-adyana-bairros-sao-jose-dos-campos-com-garagem-70m2-aluguel-RS2600-id-2537349517/,"Apartamento com 2 Quartos para Aluguel, 70m²","Vila Adyana, São José dos Campos - SP",70,2 Quartos,2 Banheiros,2 Vagas,"Elevador
Condomínio fechado
Área de serviço
Cozinha
Interfone
...",R$ 2.600 /mês,R$ 500,São José dos Campos,2021-10-30 14:45,"['Vila Adyana', ' São José dos Campos - SP']",Vila Adyana, SP,"Vila Adyana, São José dos Campos ", SP,"Vila Adyana, São José dos Campos ",Vila Adyana, 2.600 /mês,R$ 2.600 , 2.600 ,2 ,2 ,2 ,2 
2550,2539383816,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-residencial-aquarius-bairros-sao-jose-dos-campos-com-garagem-85m2-aluguel-RS4300-id-2539383816/,"Apartamento com 2 Quartos para Aluguel, 85m²","Parque Residencial Aquarius, São José dos Campos - SP",85,2 Quartos,1 Banheiro,2 Vagas,Piscina,R$ 4.300 /mês,R$ 900,São José dos Campos,2021-10-30 14:45,"['Parque Residencial Aquarius', ' São José dos Campos - SP']",Parque Residencial Aquarius, SP,"Parque Residencial Aquarius, São José dos Campos ", SP,"Parque Residencial Aquarius, São José dos Campos ",Parque Residencial Aquarius, 4.300 /mês,R$ 4.300 , 4.300 ,1 ,1 ,2 ,2 
2551,2533429350,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-augusta-bairros-sao-jose-dos-campos-com-garagem-54m2-aluguel-RS1500-id-2533429350/,"Apartamento com 2 Quartos para Aluguel, 54m²","Jardim Augusta, São José dos Campos - SP",54,2 Quartos,1 Banheiro,1 Vaga,"Cozinha
Elevador
Lavanderia
Sistema de alarme
Área de serviço",R$ 1.500 /mês,R$ 320,São José dos Campos,2021-10-30 14:45,"['Jardim Augusta', ' São José dos Campos - SP']",Jardim Augusta, SP,"Jardim Augusta, São José dos Campos ", SP,"Jardim Augusta, São José dos Campos ",Jardim Augusta, 1.500 /mês,R$ 1.500 , 1.500 ,1 ,1 ,1 ,2 
2552,2534953267,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-aquarius-bairros-sao-jose-dos-campos-com-garagem-80m2-aluguel-RS3300-id-2534953267/,"Apartamento com 2 Quartos para Aluguel, 80m²","Jardim Aquarius, São José dos Campos - SP",80,2 Quartos,2 Banheiros,2 Vagas,"Condomínio fechado
Segurança 24h
Espaço gourmet
Salão de jogos
Gerador elétrico",R$ 3.300 /mês,R$ 4,São José dos Campos,2021-10-30 14:45,"['Jardim Aquarius', ' São José dos Campos - SP']",Jardim Aquarius, SP,"Jardim Aquarius, São José dos Campos ", SP,"Jardim Aquarius, São José dos Campos ",Jardim Aquarius, 3.300 /mês,R$ 3.300 , 3.300 ,2 ,2 ,2 ,2 
2553,2538552725,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacaras-sao-jose-bairros-sao-jose-dos-campos-46m2-aluguel-RS1100-id-2538552725/,"Apartamento com Quarto para Aluguel, 46m²","Chácaras São José, São José dos Campos - SP",46,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.100 /mês,R$ 302,São José dos Campos,2021-10-30 14:45,"['Chácaras São José', ' São José dos Campos - SP']",Chácaras São José, SP,"Chácaras São José, São José dos Campos ", SP,"Chácaras São José, São José dos Campos ",Chácaras São José, 1.100 /mês,R$ 1.100 , 1.100 ,1 ,1 ,-- ,1 
2554,2539382394,https://www.vivareal.com.br/imovel/apartamento-2-quartos-urbanova-vi-bairros-sao-jose-dos-campos-com-garagem-59m2-aluguel-RS1550-id-2539382394/,"Apartamento com 2 Quartos para Aluguel, 59m²","Urbanova VI, São José dos Campos - SP",59,2 Quartos,1 Banheiro,1 Vaga,,R$ 1.550 /mês,R$ 330,São José dos Campos,2021-10-30 14:45,"['Urbanova VI', ' São José dos Campos - SP']",Urbanova VI, SP,"Urbanova VI, São José dos Campos ", SP,"Urbanova VI, São José dos Campos ",Urbanova VI, 1.550 /mês,R$ 1.550 , 1.550 ,1 ,1 ,1 ,2 
